FullNames,Descriptors,Data Source,Link,Score Description
Country,Country,,,
Status,FH - Level of Freedom,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
PR.Rating,FH - Political Rights Rating,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
CL.Rating,FH - Civil Liberties Rating,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
A.Aggr,FH - Electoral Process,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
B.Aggr,FH - Political Pluralism and Participation,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
C.Aggr,FH - Functioning of Government,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
PR.Aggr,FH - Political Rights Aggregated Score,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
D.Aggr,FH - Freedom of Expression and Belief,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
E.Aggr,FH - Associational and Organizational Rights,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
F.Aggr,FH - Rule of Law,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
G.Aggr,FH - Personal Autonomy and Individual Rights,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
CL.Aggr,FH - Civil Liberties Aggregated Score,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
Total.Aggr,FH - Total Aggregated Score,Freedom House,https://freedomhouse.org/,"Score from 0-16, higher is better"
Year,Year,,,
Region,Region,,,
FSI_Total,FSI Total Score,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Demographic.Pressures,FSI - Demographic Pressures,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Refugees.and.IDPs,FSI - Refugees and IDPs,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Group.Grievance,FSI - Group Grievance,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Human.Flight,FSI - Human Flight,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Uneven.Development,FSI - Uneven Economic Development,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Poverty.and.Economic.Decline,FSI - Poverty and Economic Decline,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Legitimacy.of.the.State,FSI - State Legitimacy,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Public.Services,FSI - Public Services,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
FSI_Human.Rights,FSI - Human Rights,Fragile State Index,http://fundforpeace.org/fsi/,"Not Sure, honestly"
